"","Job_Title","Company","Location","Links"
"34","Senior Data Scientist, Online Recommendation","Home Depot / THD","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=dca7782d635ea0a2&fccid=82e58e9861d48566&vjs=3"
"35","Program Manager, Data Scientist","General Dynamics Information Technology","Atlanta, GA 30350","/rc/clk?jk=af30336b81866a65&fccid=11caadcdc98800d4&vjs=3"
"36","Data Scientist - Utility Analytics","Koch Engineered Solutions","Atlanta, GA 30303 (Five Points area)","/rc/clk?jk=f12855035974a9f6&fccid=735667c8ff2f1a48&vjs=3"
"37","2021 Data Science Intern","Cox Automotive","Atlanta, GA 30319","/rc/clk?jk=bad2fe15ac82fa5a&fccid=7e465a3d521b3ac3&vjs=3"
"38","Data Analytics Intern I- Undergrad","Anthem","Atlanta, GA","/rc/clk?jk=47943f8593218b75&fccid=2a4da7fa99f4b9ae&vjs=3"
"39","Senior Data Scientist - Defense Analytics","McKinsey & Company","Atlanta, GA","/rc/clk?jk=dae419aa3239ec91&fccid=6576e7250aa78c3c&vjs=3"
"40","Data Scientist - Nationwide Opportunities","Amazon Web Services, Inc.","Atlanta, GA","/rc/clk?jk=20b6e44a7d8d7ad5&fccid=fe2d21eef233e94a&vjs=3"
"41","Data Scientist/Sr. Data Scientist","UCB S.A.","Smyrna, GA","/rc/clk?jk=8ef38725427990cd&fccid=33684b64e937e3af&vjs=3"
"42","Principal Data Scientist","Splunk","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=2ac6ae7d2831ea3d&fccid=aef928e89977f7f0&vjs=3"
"43","Senior Associate, Data Scientist Optimization","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=f419bc6b06a81356&fccid=2dd390c3a48a7ed0&vjs=3"
"44","Launch Data Specialist","Rubicon","Atlanta, GA 30326 (Lenox area)","/rc/clk?jk=c353ac8772a7a2b9&fccid=8d8bde4f3caaae53&vjs=3"
"45","Senior Data Scientist","Verusen","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=7532d435ba081f84&fccid=4533445e9bf66d49&vjs=3"
"46","Sr. Financial Reporting Data Analyst/Specialist","Federal Reserve Bank of Atlanta","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=edb1308d0fd0818d&fccid=e71caef2ef515c40&vjs=3"
"47","Data Scientist - Utility Analytics","Koch Engineered Solutions","Atlanta, GA 30303 (Five Points area)","/rc/clk?jk=f12855035974a9f6&fccid=735667c8ff2f1a48&vjs=3"
"48","Senior Data Analyst","LeasePlan","Atlanta, GA","/rc/clk?jk=eaff28c94d29aff2&fccid=3dc6137bb6f4119b&vjs=3"
"49","Data Scientist","Aderant","Atlanta, GA 30350","/rc/clk?jk=5ef90fce762b3411&fccid=974ca008ac4d825a&vjs=3"
"50","Data Scientist/Sr. Data Scientist","UCB S.A.","Smyrna, GA","/rc/clk?jk=8ef38725427990cd&fccid=33684b64e937e3af&vjs=3"
"51","Data Scientist","The RiverStone Group","Atlanta, GA 30339","/rc/clk?jk=6b93ecd3954ffeee&fccid=6a3ee93ca85c3d88&vjs=3"
